!SIL 1.0	SIL
<UNK> 1.0	spn
chết 1.0	ts\ e5b t5b
chề 1.0	ts\ e2
chỉ 1.0	ts\ i3
chị 1.0	ts\ i6a
chịu 1.0	ts\ i6a w6a
chọn 1.0	ts\ O6a n6a
chọt 1.0	ts\ O6b t6b
chống 1.0	ts\ o5a Nm5a
chồng 1.0	ts\ o2 Nm2
chỗ 1.0	ts\ o4
chớ 1.0	ts\ 75a
chờ 1.0	ts\ 72
chợ 1.0	ts\ 76a
chợt 1.0	ts\ 76b t6b
chủ 1.0	ts\ u3
chủng 1.0	ts\ u3 Nm3
chứ 1.0	ts\ M5a
chức 1.0	ts\ M5b k5b
chứng 1.0	ts\ M5a N5a
chửng 1.0	ts\ M3 N3
chữ 1.0	ts\ M4
chữa 1.0	ts\ M74
coi 1.0	k O1 j1
con 1.0	k O1 n1
cong 1.0	k O_X1 Nm1
cu 1.0	k u1
cua 1.0	k uo1
cung 1.0	k u1 Nm1
cuối 1.0	k uo5a j5a
cuốn 1.0	k uo5a n5a
cuộc 1.0	k uo6b k6b
càn 1.0	k a2 n2
càng 1.0	k a2 N2
cành 1.0	k E_X2 J2
cá 1.0	k a5a
các 1.0	k a5b k5b
cách 1.0	k E_X5b k5b
cái 1.0	k a5a j5a
cám 1.0	k a5a m5a
cán 1.0	k a5a n5a
cánh 1.0	k E_X5a J5a
cáo 1.0	k a5a w5a
cáp 1.0	k a5b p5b
cát 1.0	k a5b t5b
cáu 1.0	k a_X5a w5a
cân 1.0	k 7_X1 n1
câu 1.0	k 7_X1 w1
cây 1.0	k 7_X1 j1
cãi 1.0	k a4 j4
cò 1.0	k O2
còn 1.0	k O2 n2
có 1.0	k O5a
cóc 1.0	k O_X5b kp5b
cót 1.0	k O5b t5b
cô 1.0	k o1
côn 1.0	k o1 n1
công 1.0	k o1 Nm1
cõi 1.0	k O4 j4
cùng 1.0	k u2 Nm2
cúi 1.0	k u5a j5a
cúng 1.0	k u5a Nm5a
cút 1.0	k u5b t5b
căm 1.0	k a_X1 m1
căn 1.0	k a_X1 n1
căng 1.0	k a_X1 N1
cũ 1.0	k u4
cũng 1.0	k u4 Nm4
cơ 1.0	k 71
cơn 1.0	k 71 n1
cưới 1.0	k M75a j5a
cười 1.0	k M72 j2
cường 1.0	k M72 N2
cưỡng 1.0	k M74 N4
cạn 1.0	k a6a n6a
cạnh 1.0	k E_X6a J6a
cạo 1.0	k a6a w6a
cạp 1.0	k a6b p6b
cả 1.0	k a3
cải 1.0	k a3 j3
cảm 1.0	k a3 m3
cản 1.0	k a3 n3
cảnh 1.0	k E_X3 J3
cấp 1.0	k 7_X5b p5b
cầm 1.0	k 7_X2 m2
cần 1.0	k 7_X2 n2
cầu 1.0	k 7_X2 w2
cẩu 1.0	k 7_X3 w3
cập 1.0	k 7_X6b p6b
cậu 1.0	k 7_X6a w6a
cắt 1.0	k a_X5b t5b
cọ 1.0	k O6a
cọng 1.0	k O_X6a Nm6a
cọp 1.0	k O6b p6b
cọt 1.0	k O6b t6b
cỏ 1.0	k O3
cố 1.0	k o5a
cốc 1.0	k o5b kp5b
cốt 1.0	k o5b t5b
cổng 1.0	k o3 Nm3
cộng 1.0	k o6a Nm6a
cớ 1.0	k 75a
cờ 1.0	k 72
cởi 1.0	k 73 j3
cỡ 1.0	k 74
cụ 1.0	k u6a
cục 1.0	k u6b kp6b
cụm 1.0	k u6a m6a
cụt 1.0	k u6b t6b
củ 1.0	k u3
của 1.0	k uo3
củi 1.0	k u3 j3
củng 1.0	k u3 Nm3
cứ 1.0	k M5a
cứu 1.0	k M5a w5a
cử 1.0	k M3
cửa 1.0	k M73
da 1.0	z a1
danh 1.0	z E_X1 J1
di 1.0	z i1
dinh 1.0	z i1 J1
diêm 1.0	z ie1 m1
diễn 1.0	z ie4 n4
diện 1.0	z ie6a n6a
diệt 1.0	z ie6b t6b
do 1.0	z O1
doanh 1.0	z wp1 E_X1 J1
dung 1.0	z u1 Nm1
duy 1.0	z wp1 i1
duyên 1.0	z wp1 ie1 n1
duyệt 1.0	z wp6b ie6b t6b
dài 1.0	z a2 j2
dàn 1.0	z a2 n2
dàng 1.0	z a2 N2
dành 1.0	z E_X2 J2
dày 1.0	z a_X2 j2
dám 1.0	z a5a m5a
dân 1.0	z 7_X1 n1
dâu 1.0	z 7_X1 w1
dây 1.0	z 7_X1 j1
dãi 1.0	z a4 j4
dép 1.0	z E5b p5b
dê 1.0	z e1
dòng 1.0	z O_X2 Nm2
dõi 1.0	z O4 j4
dù 1.0	z u2
dùng 1.0	z u2 Nm2
dăm 1.0	z a_X1 m1
dĩ 1.0	z i4
dũng 1.0	z u4 Nm4
dơ 1.0	z 71
dư 1.0	z M1
dương 1.0	z M71 N1
dưới 1.0	z M75a j5a
dưỡng 1.0	z M74 N4
dạ 1.0	z a6a
dạng 1.0	z a6a N6a
dạy 1.0	z a_X6a j6a
dả 1.0	z a3
dấu 1.0	z 7_X5a w5a
dầm 1.0	z 7_X2 m2
dần 1.0	z 7_X2 n2
dầu 1.0	z 7_X2 w2
dẩu 1.0	z 7_X3 w3
dẫn 1.0	z 7_X4 n4
dật 1.0	z 7_X6b t6b
dậy 1.0	z 7_X6a j6a
dặn 1.0	z a_X6a n6a
dẹp 1.0	z E6b p6b
dễ 1.0	z e4
dị 1.0	z i6a
dịch 1.0	z i6b k6b
dịu 1.0	z i6a w6a
dọc 1.0	z O_X6b kp6b
dọn 1.0	z O6a n6a
dốc 1.0	z o5b kp5b
dốt 1.0	z o5b t5b
dồi 1.0	z o2 j2
dồn 1.0	z o2 n2
dờ 1.0	z 72
dụ 1.0	z u6a
dục 1.0	z u6b kp6b
dụng 1.0	z u6a Nm6a
dứa 1.0	z M75a
dứt 1.0	z M5b t5b
dừng 1.0	z M2 N2
dự 1.0	z M6a
dựa 1.0	z M76a
dựng 1.0	z M6a N6a
e 1.0	E1
em 1.0	E1 m1
eo 1.0	E1 w1
ga 1.0	G a1
gai 1.0	G a1 j1
gam 1.0	G a1 m1
gan 1.0	G a1 n1
ghi 1.0	G i1
ghim 1.0	G i1 m1
ghét 1.0	G E5b t5b
ghẻ 1.0	G E3
ghế 1.0	G e5a
gia 1.0	dZ a1
giai 1.0	dZ a1 j1
gian 1.0	dZ a1 n1
giang 1.0	dZ a1 N1
giao 1.0	dZ a1 w1
già 1.0	dZ a2
giành 1.0	dZ E_X2 J2
giàu 1.0	dZ a_X2 w2
giá 1.0	dZ a5a
giác 1.0	dZ a5b k5b
giám 1.0	dZ a5a m5a
giáo 1.0	dZ a5a w5a
giáp 1.0	dZ a5b p5b
giây 1.0	dZ 7_X1 j1
giã 1.0	dZ a4
giãn 1.0	dZ a4 n4
giê 1.0	dZ e1
giêng 1.0	dZ ie1 N1
giò 1.0	dZ O2
gió 1.0	dZ O5a
giùm 1.0	dZ u2 m2
giúp 1.0	dZ u5b p5b
giường 1.0	dZ M72 N2
giả 1.0	dZ a3
giải 1.0	dZ a3 j3
giảm 1.0	dZ a3 m3
giảng 1.0	dZ a3 N3
giấc 1.0	dZ 7_X5b k5b
giấu 1.0	dZ 7_X5a w5a
giấy 1.0	dZ 7_X5a j5a
giầu 1.0	dZ 7_X2 w2
giận 1.0	dZ 7_X6a n6a
giật 1.0	dZ 7_X6b t6b
giằng 1.0	dZ a_X2 N2
giặc 1.0	dZ a_X6b k6b
giặt 1.0	dZ a_X6b t6b
giếm 1.0	dZ e5a m5a
giết 1.0	dZ ie5b t5b
giềng 1.0	dZ ie2 N2
giọng 1.0	dZ O_X6a Nm6a
giọt 1.0	dZ O6b t6b
giỏi 1.0	dZ O3 j3
giống 1.0	dZ o5a Nm5a
giới 1.0	dZ 75a j5a
giờ 1.0	dZ 72
giữ 1.0	dZ M4
giữa 1.0	dZ M74
goá 1.0	G wp5a a5a
goép 1.0	G wp5b E5b p5b
guồng 1.0	G uo2 N2
gà 1.0	G a2
gái 1.0	G a5a j5a
gây 1.0	G 7_X1 j1
gã 1.0	G a4
gì 1.0	dZ i2
gìn 1.0	dZ i2 n2
gò 1.0	G O2
gòn 1.0	G O2 n2
góc 1.0	G O_X5b kp5b
góp 1.0	G O5b p5b
gô 1.0	G o1
gù 1.0	G u2
gương 1.0	G M71 N1
gạo 1.0	G a6a w6a
gảy 1.0	G a_X3 j3
gấp 1.0	G 7_X5b p5b
gần 1.0	G 7_X2 n2
gật 1.0	G 7_X6b t6b
gậy 1.0	G 7_X6a j6a
gắn 1.0	G a_X5a n5a
gắng 1.0	G a_X5a N5a
gặp 1.0	G a_X6b p6b
gọi 1.0	G O6a j6a
gốc 1.0	G o5b kp5b
gồm 1.0	G o2 m2
gỗ 1.0	G o4
gội 1.0	G o6a j6a
gục 1.0	G u6b kp6b
gừng 1.0	G M2 N2
gửi 1.0	G M3 j3
hai 1.0	h a1 j1
ham 1.0	h a1 m1
hang 1.0	h a1 N1
hay 1.0	h a_X1 j1
heo 1.0	h E1 w1
hi 1.0	h i1
hiến 1.0	h ie5a n5a
hiếu 1.0	h ie5a w5a
hiểm 1.0	h ie3 m3
hiểu 1.0	h ie3 w3
hiện 1.0	h ie6a n6a
hiệp 1.0	h ie6b p6b
hiệu 1.0	h ie6a w6a
ho 1.0	h O1
hoa 1.0	h wp1 a1
hoà 1.0	h wp2 a2
hoài 1.0	h wp2 a2 j2
hoàn 1.0	h wp2 a2 n2
hoàng 1.0	h wp2 a2 N2
hoá 1.0	h wp5a a5a
hoạ 1.0	h wp6a a6a
hoạch 1.0	h wp6b E_X6b k6b
hoạt 1.0	h wp6b a6b t6b
hoảng 1.0	h wp3 a3 N3
hoặc 1.0	h wp6b a_X6b k6b
hung 1.0	h u1 Nm1
huy 1.0	h wp1 i1
huyết 1.0	h wp5b ie5b t5b
huyện 1.0	h wp6a ie6a n6a
huế 1.0	h wp5a e5a
huệ 1.0	h wp6a e6a
huỳnh 1.0	h wp2 i2 J2
huỷ 1.0	h wp3 i3
hy 1.0	h i1
hà 1.0	h a2
hàm 1.0	h a2 m2
hàn 1.0	h a2 n2
hàng 1.0	h a2 N2
hành 1.0	h E_X2 J2
hào 1.0	h a2 w2
hái 1.0	h a5a j5a
hám 1.0	h a5a m5a
hán 1.0	h a5a n5a
hát 1.0	h a5b t5b
hãm 1.0	h a4 m4
hãy 1.0	h a_X4 j4
hình 1.0	h i2 J2
hò 1.0	h O2
hòn 1.0	h O2 n2
hói 1.0	h O5a j5a
hô 1.0	h o1
hôi 1.0	h o1 j1
hôm 1.0	h o1 m1
hôn 1.0	h o1 n1
hông 1.0	h o1 Nm1
hùng 1.0	h u2 Nm2
húm 1.0	h u5a m5a
hút 1.0	h u5b t5b
hũ 1.0	h u4
hơi 1.0	h 71 j1
hơn 1.0	h 71 n1
hư 1.0	h M1
hương 1.0	h M71 N1
hướng 1.0	h M75a N5a
hưởng 1.0	h M73 N3
hượm 1.0	h M76a m6a
hại 1.0	h a6a j6a
hạn 1.0	h a6a n6a
hạng 1.0	h a6a N6a
hạnh 1.0	h E_X6a J6a
hạt 1.0	h a6b t6b
hả 1.0	h a3
hải 1.0	h a3 j3
hảo 1.0	h a3 w3
hấp 1.0	h 7_X5b p5b
hất 1.0	h 7_X5b t5b
hầu 1.0	h 7_X2 w2
hận 1.0	h 7_X6a n6a
hậu 1.0	h 7_X6a w6a
hắn 1.0	h a_X5a n5a
hắt 1.0	h a_X5b t5b
hằng 1.0	h a_X2 N2
hẹp 1.0	h E6b p6b
hết 1.0	h e5b t5b
hề 1.0	h e2
hễ 1.0	h e4
hệ 1.0	h e6a
hịch 1.0	h i6b k6b
họ 1.0	h O6a
học 1.0	h O_X6b kp6b
họng 1.0	h O_X6a Nm6a
họp 1.0	h O6b p6b
hỏi 1.0	h O3 j3
hỏng 1.0	h O_X3 Nm3
hố 1.0	h o5a
hốc 1.0	h o5b kp5b
hối 1.0	h o5a j5a
hốt 1.0	h o5b t5b
hồ 1.0	h o2
hồi 1.0	h o2 j2
hồn 1.0	h o2 n2
hồng 1.0	h o2 Nm2
hổ 1.0	h o3
hỗ 1.0	h o4
hỗn 1.0	h o4 n4
hộ 1.0	h o6a
hội 1.0	h o6a j6a
hột 1.0	h o6b t6b
hở 1.0	h 73
hợp 1.0	h 76b p6b
hứng 1.0	h M5a N5a
hữu 1.0	h M4 w4
i 1.0	i1
im 1.0	i1 m1
k 1.0	k
khai 1.0	x a1 j1
khao 1.0	x a1 w1
khi 1.0	x i1
khiến 1.0	x ie5a n5a
khoa 1.0	x wp1 a1
khoai 1.0	x wp1 a1 j1
khoảng 1.0	x wp3 a3 N3
khoẻ 1.0	x wp3 E3
khu 1.0	x u1
khuya 1.0	x wp1 ie1
khuyên 1.0	x wp1 ie1 n1
khuôn 1.0	x uo1 n1
khuất 1.0	x wp5b 7_X5b t5b
khá 1.0	x a5a
khác 1.0	x a5b k5b
khách 1.0	x E_X5b k5b
khái 1.0	x a5a j5a
khám 1.0	x a5a m5a
kháng 1.0	x a5a N5a
khánh 1.0	x E_X5a J5a
khâm 1.0	x 7_X1 m1
khè 1.0	x E2
khéo 1.0	x E5a w5a
khép 1.0	x E5b p5b
khí 1.0	x i5a
khía 1.0	x ie5a
khích 1.0	x i5b k5b
khó 1.0	x O5a
khóc 1.0	x O_X5b kp5b
khô 1.0	x o1
không 1.0	x o1 Nm1
khúc 1.0	x u5b kp5b
khúm 1.0	x u5a m5a
khăn 1.0	x a_X1 n1
khưu 1.0	x M1 w1
khả 1.0	x a3
khản 1.0	x a3 n3
khảo 1.0	x a3 w3
khẩn 1.0	x 7_X3 n3
